Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
48,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
49,0.001694915254237288,3.331205198826122e-05,0.020591996082378865,0.0,2.1413491941787612e-05,14.813744588744578,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
50,0.003389830508474576,3.331205198826122e-05,0.024623442532287973,0.0,4.526592296939965e-05,18.33538961038959,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
51,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
52,0.010169491525423728,3.331205198826122e-05,0.02067117134121022,0.0013668907061867744,4.7342039827947115e-05,15.773484848484832,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
53,0.003389830508474576,3.331205198826122e-05,0.026935739543958052,0.0,0.00010956582694649805,20.454834054834055,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
54,0.005084745762711864,3.331205198826122e-05,0.022223845704266512,0.0,3.700568022327238e-05,17.42348484848484,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
55,0.003389830508474576,3.331205198826122e-05,0.02949561777444327,0.0,0.00011370199776743102,21.689682539682533,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
56,0.00847457627118644,3.331205198826122e-05,0.02949561777444327,0.001845306065358239,0.00011370199776743102,21.689682539682533,0.1,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
57,0.005084745762711864,3.331205198826122e-05,0.032322491983508936,0.0006217292821994845,8.400746780268114e-05,23.502380952380946,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
58,0.00847457627118644,3.331205198826122e-05,0.004067796610169492,0.000567010293223117,1.3233910401093578e-11,2.8333333333333335,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
59,0.01694915254237288,3.331205198826122e-05,0.015784618932318688,0.0029785178795381792,7.311163492432929e-06,12.869047619047613,0.022222222222222223,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
60,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
61,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
62,0.001694915254237288,3.331205198826122e-05,0.01079393398751115,0.0,2.1914941059440244e-06,7.826190476190481,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
63,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
64,0.003389830508474576,3.331205198826122e-05,0.001694915254237288,0.000207188282351587,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
65,0.001694915254237288,3.331205198826122e-05,0.001694915254237288,0.0,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
66,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
67,0.001694915254237288,3.331205198826122e-05,0.002259887005649717,0.0,1.264062195844256e-66,1.5,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
68,0.003389830508474576,3.331205198826122e-05,0.002259887005649717,4.642552252692968e-05,1.264062195844256e-66,1.5,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
69,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
70,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
71,0.005084745762711864,3.331205198826122e-05,0.024614708789398542,0.0006720190306274163,2.406658727243971e-05,18.049206349206337,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
72,0.001694915254237288,3.331205198826122e-05,0.01567921603919804,0.0,3.772399083845733e-06,11.370634920634913,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
73,0.001694915254237288,3.331205198826122e-05,0.01846051157357744,0.0,1.172360033293446e-05,13.103341103341105,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
74,0.00847457627118644,3.331205198826122e-05,0.029349583757561234,0.0002848838882334321,8.291807118849363e-05,23.22824675324676,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
75,0.005084745762711864,3.331205198826122e-05,0.02245850440397235,0.0,3.418879063228678e-05,17.416341991341977,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
76,0.005084745762711864,3.331205198826122e-05,0.001694915254237288,6.0429915685879545e-05,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
77,0.010169491525423728,3.331205198826122e-05,0.03050157064448203,0.002376542803820808,0.0001572690603585719,23.564682539682533,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
78,0.010169491525423728,3.331205198826122e-05,0.026458677066146696,0.0010452367869874975,0.0001325329874020991,20.2313492063492,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
79,0.013559322033898305,3.331205198826122e-05,0.02613704510305211,0.001646856529980925,0.00013286932790723514,20.396500721500725,0.03571428571428571,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
80,0.006779661016949152,3.331205198826122e-05,0.01533000997008973,0.0005774427195816674,4.3903403096276975e-05,11.011580086580086,0.16666666666666666,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
81,0.010169491525423728,3.331205198826122e-05,0.017374048652939254,0.0009384163709896811,8.019080410930412e-05,12.880158730158715,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
82,0.003389830508474576,3.331205198826122e-05,0.022540171692714068,0.0,2.7539044680566537e-05,17.237698412698403,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
83,0.010169491525423728,3.331205198826122e-05,0.01811702701084027,0.0025565691155170593,6.890370628190395e-06,13.821031746031732,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
84,0.001694915254237288,3.331205198826122e-05,0.002259887005649717,0.0,1.264062195844256e-66,1.5,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
85,0.003389830508474576,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
86,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
87,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
88,0.013559322033898305,3.331205198826122e-05,0.016196410767696907,0.0015104601306437228,3.772399083845733e-06,12.370634920634908,0.07142857142857142,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
89,0.003389830508474576,3.331205198826122e-05,0.016196410767696907,0.0,3.772399083845733e-06,12.370634920634908,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
90,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
91,0.003389830508474576,3.331205198826122e-05,0.024830906342006846,0.0002179108240804307,3.320740259732777e-05,17.751587301587296,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
92,0.003389830508474576,3.331205198826122e-05,0.024830906342006846,0.0002179108240804307,3.320740259732777e-05,17.751587301587296,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
93,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
94,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
95,0.010169491525423728,3.331205198826122e-05,0.02338730078421452,0.0011435162537289094,3.911232513599668e-05,17.683802308802296,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
96,0.015254237288135592,3.331205198826122e-05,0.020955315870570108,0.002282268677813525,4.3567062591140886e-05,15.744444444444424,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
97,0.005084745762711864,3.331205198826122e-05,0.025889736555300837,0.0004038572460472152,0.00012026338013529952,19.231349206349194,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
98,0.006779661016949152,3.331205198826122e-05,0.019536423841059605,0.00047927983810915384,4.563117361558116e-05,14.071031746031734,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
99,0.003389830508474576,3.331205198826122e-05,0.019536423841059605,0.00047927983810915384,2.064867405237614e-05,14.071031746031734,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
100,0.011864406779661017,3.331205198826122e-05,0.023463765083350772,0.0013084776641898769,3.771527971523138e-05,18.466666666666665,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
101,0.006779661016949152,3.331205198826122e-05,0.028191003911342896,0.0,6.313335380354253e-05,22.63737373737372,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
102,0.003389830508474576,3.331205198826122e-05,0.018194462414283862,0.0004935109781013495,2.591909094498433e-05,13.243903318903316,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
103,0.003389830508474576,3.331205198826122e-05,0.018767516348592018,0.0,6.298706646451469e-05,15.043903318903313,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
104,0.005084745762711864,3.331205198826122e-05,0.030595393307257714,0.0,9.619446906184245e-05,23.523015873015876,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
105,0.001694915254237288,3.331205198826122e-05,0.024830906342006846,0.0,3.320740259732777e-05,17.751587301587296,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
106,0.001694915254237288,3.331205198826122e-05,0.016466145604636863,0.0,3.448450456672474e-05,12.447316572316575,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
107,0.011864406779661017,3.331205198826122e-05,0.016141488577745024,0.0017467123248251849,3.448450456672474e-05,12.197316572316577,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
108,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
109,0.005084745762711864,3.331205198826122e-05,0.014367424043658497,7.337918333285373e-05,1.8879743464552258e-05,10.651809301809305,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
110,0.001694915254237288,3.331205198826122e-05,0.014667535853976532,0.0,1.8879743464552258e-05,10.901809301809305,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
111,0.015254237288135592,3.331205198826122e-05,0.024699218406955298,0.002094471835904256,6.759190465682798e-05,19.344444444444438,0.027777777777777776,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
112,0.011864406779661017,3.331205198826122e-05,0.024296743278019346,0.0024914868891229747,6.759190465682798e-05,19.094444444444438,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
113,0.006779661016949152,3.331205198826122e-05,0.024883428317667086,0.0008757011341732883,7.790319583180967e-05,18.45238095238094,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
114,0.003389830508474576,3.331205198826122e-05,0.02753837543971858,0.0,4.7400476625382486e-05,19.814682539682533,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
115,0.006779661016949152,3.331205198826122e-05,0.01533246414602347,0.0,8.939158181767124e-06,13.029761904761898,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
116,0.006779661016949152,3.331205198826122e-05,0.012975427783634742,3.8190658141538526e-05,8.939150458561097e-06,11.072222222222214,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
117,0.005084745762711864,3.331205198826122e-05,0.012394067796610168,2.35277300310149e-05,6.470962284446098e-06,10.072222222222216,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
118,0.005084745762711864,3.331205198826122e-05,0.029517004541929768,0.0,2.336907003327674e-05,21.080952380952375,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
119,0.003389830508474576,3.331205198826122e-05,0.026306708616664978,0.0,1.6898107748830643e-05,18.140476190476186,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
120,0.001694915254237288,3.331205198826122e-05,0.001694915254237288,0.0,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
121,0.001694915254237288,3.331205198826122e-05,0.001694915254237288,0.0,1.7801939531783408e-68,1.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
122,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
123,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
124,0.003389830508474576,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
125,0.003389830508474576,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
126,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
127,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
128,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
129,0.005084745762711864,3.331205198826122e-05,0.012552058111380146,0.00041222321093453386,7.311150258522528e-06,9.494047619047615,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
130,0.006779661016949152,3.331205198826122e-05,0.034216427640156456,0.0,0.000122770574282673,25.61309523809524,0.3333333333333333,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
131,0.006779661016949152,3.331205198826122e-05,0.025741525423728814,0.0011413357639482218,8.459530047530628e-05,19.355158730158724,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
132,0.001694915254237288,3.331205198826122e-05,0.024333345695953714,0.0,4.740046890217646e-05,17.45238095238094,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
133,0.010169491525423728,3.331205198826122e-05,0.02685474278917633,0.0013521433435968269,7.143967414168549e-05,21.46349206349206,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
134,0.001694915254237288,3.331205198826122e-05,0.006101694915254238,0.0,1.2496409851198366e-11,4.630952380952383,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
135,0.003389830508474576,3.331205198826122e-05,0.024625560466817183,0.00010560847169865616,6.347522150452071e-05,17.276190476190465,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
136,0.001694915254237288,3.331205198826122e-05,0.024625560466817183,0.0,6.347522150452071e-05,17.276190476190465,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
137,0.005084745762711864,3.331205198826122e-05,0.006101694915254238,8.920606601248885e-05,1.2496409851198366e-11,4.630952380952383,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
138,0.011864406779661017,3.331205198826122e-05,0.02882879451533041,0.0006034358723489971,0.00011593923786575002,21.51150793650793,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
139,0.001694915254237288,3.331205198826122e-05,0.01079393398751115,0.0,2.1914941059440244e-06,7.826190476190481,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
140,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
141,0.00847457627118644,3.331205198826122e-05,0.017907148120854827,0.0010851145306794991,2.103666915459293e-05,12.937698412698401,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
142,0.0,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
143,0.003389830508474576,3.331205198826122e-05,0.006101694915254238,0.0,1.2496409851198366e-11,4.630952380952383,1.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
144,0.001694915254237288,3.331205198826122e-05,0.006101694915254238,0.0,1.2496409851198366e-11,4.630952380952383,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
145,0.005084745762711864,3.331205198826122e-05,0.014667535853976532,5.179707058789675e-05,1.8879743464552258e-05,10.901809301809305,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
146,0.001694915254237288,3.331205198826122e-05,0.014667535853976532,0.0,1.8879743464552258e-05,10.901809301809305,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
147,0.001694915254237288,3.331205198826122e-05,0.025449177991550873,0.0,4.539650357210993e-05,18.51136363636362,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
148,0.003389830508474576,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
149,0.001694915254237288,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
150,0.006779661016949152,3.331205198826122e-05,0.0,0.0,1.2448908763484895e-70,0.0,0.0,0.002070607129542,0.08568352586329751,0.03794871794871795,0.08392160978523817
